Trace,Cache Size,Associativity,Block Size,Accesses,Hits,Misses,ReadMiss,ReadCount,WriteMiss,WriteCount,WriteBack
trace.bubble, 131072, 4, 32, 6322343, 6306878, 15465, 10697, 5666010, 4768, 656333, 4470
trace.bubble, 131072, 4, 64, 6322343, 6312721, 9622, 6982, 5666010, 2640, 656333, 2763
trace.bubble, 131072, 4, 128, 6322343, 6315673, 6670, 5205, 5666010, 1465, 656333, 1807
trace.bubble, 131072, 4, 256, 6322343, 6317146, 5197, 4344, 5666010, 853, 656333, 1312
trace.bubble, 131072, 4, 512, 6322343, 6317712, 4631, 4112, 5666010, 519, 656333, 1115
trace.bubble, 131072, 4, 1024, 6322343, 6317475, 4868, 4531, 5666010, 337, 656333, 1119
trace.bubble, 131072, 4, 2048, 6322343, 6315169, 7174, 6872, 5666010, 302, 656333, 1538
trace.merge, 131072, 4, 32, 7678430, 7657295, 21135, 12960, 6544752, 8175, 1133678, 8228
trace.merge, 131072, 4, 64, 7678430, 7665634, 12796, 8497, 6544752, 4299, 1133678, 4799
trace.merge, 131072, 4, 128, 7678430, 7669628, 8802, 6477, 6544752, 2325, 1133678, 3010
trace.merge, 131072, 4, 256, 7678430, 7671662, 6768, 5448, 6544752, 1320, 1133678, 2076
trace.merge, 131072, 4, 512, 7678430, 7672564, 5866, 5080, 6544752, 786, 1133678, 1631
trace.merge, 131072, 4, 1024, 7678430, 7672354, 6076, 5561, 6544752, 515, 1133678, 1575
trace.merge, 131072, 4, 2048, 7678430, 7670144, 8286, 7854, 6544752, 432, 1133678, 1882
